Timestamp,Resistance,delta-Resistance,SoC_%,SoH_%,Temperature,Label
0,0.0541,0.0,46.1,100.0,24.67,Normal
1,0.0544,0.00028,45.0,99.85,25.24,Normal
2,0.0537,-0.00067,44.4,99.7,24.68,Normal
3,0.0535,-0.00025,43.5,99.55,24.97,Normal
4,0.0533,-0.00017,46.7,99.39,25.25,Normal
5,0.0529,-0.00037,43.2,99.24,24.89,Normal
6,0.0537,0.00077,45.2,99.09,25.52,Normal
7,0.0513,-0.00237,40.4,98.94,25.94,Normal
8,0.0535,0.00222,40.9,98.79,24.98,Early
9,0.0537,0.00012,38.2,98.64,24.59,Normal
10,0.0544,0.00072,38.5,98.48,25.81,Normal
11,0.0537,-0.00071,38.8,98.33,24.69,Normal
12,0.0522,-0.00143,37.6,98.18,25.22,Normal
13,0.0536,0.00141,38.6,98.03,25.6,Early
14,0.0533,-0.0003,38.8,97.88,25.47,Normal
15,0.0537,0.00034,39.8,97.73,23.71,Normal
16,0.0542,0.00055,40.7,97.58,25.83,Normal
17,0.0535,-0.00073,38.4,97.42,25.0,Normal
18,0.0534,-0.00013,41.1,97.27,25.4,Normal
19,0.0538,0.00043,39.3,97.12,24.8,Normal
20,0.0524,-0.00141,41.8,96.97,24.92,Normal
21,0.0558,0.0034,41.3,96.82,25.24,Early
22,0.0634,0.00764,42.4,96.67,24.81,Critical
23,0.0732,0.00974,41.1,96.52,25.42,Critical
24,0.0849,0.01173,43.3,96.36,25.19,Critical
25,0.0532,-0.03172,42.8,96.21,24.37,Normal
26,0.0538,0.00065,50.1,96.06,24.91,Normal
27,0.0655,0.01162,48.8,95.91,24.79,Critical
28,0.0739,0.00847,47.6,95.76,24.19,Critical
29,0.0956,0.02165,49.6,95.61,24.94,Critical
30,0.0755,-0.02011,47.5,95.45,25.14,Normal
31,0.0831,0.00766,45.0,95.3,24.15,Critical
32,0.0547,-0.0284,44.4,95.15,25.09,Normal
33,0.0539,-0.00085,45.8,95.0,24.51,Normal
34,0.057,0.00311,46.9,94.85,25.6,Early
35,0.0564,-0.00055,45.6,94.7,25.38,Normal
36,0.0546,-0.00186,44.8,94.55,24.45,Normal
